Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
18	Wed Feb 06 23:50:41 EET 2013	1097570	2	Garbage collection optimized for throughput Young Collector	14	1.0	203	23.0	1095479	23.0	67108864	67108864	3221225472	29914864
19	Wed Feb 06 23:51:39 EET 2013	1157908	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097611	20.0	67108864	67108864	3221225472	38531128
19	Wed Feb 06 23:51:39 EET 2013	1155691	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095503	81.0	67108864	67108864	3221225472	38693920
19	Wed Feb 06 23:51:39 EET 2013	1157911	1	Garbage collection optimized for throughput Young Collector	14	0.0	150	0.0	1097606	5.0	67108864	67108864	3221225472	38531128
19	Wed Feb 06 23:51:39 EET 2013	1155691	2	Garbage collection optimized for throughput Young Collector	14	0.0	203	0.0	1095479	23.0	67108864	67108864	3221225472	38693920
19	Wed Feb 06 23:51:41 EET 2013	1159844	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097611	20.0	67108864	67108864	3221225472	47518536
19	Wed Feb 06 23:51:41 EET 2013	1157724	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095503	81.0	67108864	67108864	3221225472	41127384
19	Wed Feb 06 23:51:41 EET 2013	1159844	1	Garbage collection optimized for throughput Young Collector	14	0.0	150	0.0	1097606	5.0	67108864	67108864	3221225472	47518536
19	Wed Feb 06 23:51:41 EET 2013	1157728	2	Garbage collection optimized for throughput Young Collector	14	0.0	203	0.0	1095479	23.0	67108864	67108864	3221225472	41127384
20	Wed Feb 06 23:52:39 EET 2013	1218040	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097625	20.0	67108864	67108864	3221225472	38949720
20	Wed Feb 06 23:52:39 EET 2013	1215835	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095516	81.0	67108864	67108864	3221225472	32133488
20	Wed Feb 06 23:52:39 EET 2013	1218043	1	Garbage collection optimized for throughput Young Collector	15	1.0	160	10.0	1159850	10.0	67108864	67108864	3221225472	39387968
20	Wed Feb 06 23:52:39 EET 2013	1215835	2	Garbage collection optimized for throughput Young Collector	15	1.0	226	23.0	1157825	22.0	67108864	67108864	3221225472	32133488
20	Wed Feb 06 23:52:41 EET 2013	1220041	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097625	20.0	67108864	67108864	3221225472	45699136
20	Wed Feb 06 23:52:41 EET 2013	1217916	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095516	81.0	67108864	67108864	3221225472	39282176
20	Wed Feb 06 23:52:41 EET 2013	1220041	1	Garbage collection optimized for throughput Young Collector	15	1.0	160	10.0	1159850	10.0	67108864	67108864	3221225472	45699136
20	Wed Feb 06 23:52:41 EET 2013	1217919	2	Garbage collection optimized for throughput Young Collector	15	1.0	226	23.0	1157825	22.0	67108864	67108864	3221225472	39282176
21	Wed Feb 06 23:53:39 EET 2013	1278172	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097625	20.0	67108864	67108864	3221225472	48712672
21	Wed Feb 06 23:53:39 EET 2013	1275963	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095516	81.0	67108864	67108864	3221225472	47608696
21	Wed Feb 06 23:53:39 EET 2013	1278175	1	Garbage collection optimized for throughput Young Collector	15	0.0	160	0.0	1159850	10.0	67108864	67108864	3221225472	48712672
21	Wed Feb 06 23:53:39 EET 2013	1275963	2	Garbage collection optimized for throughput Young Collector	15	0.0	226	0.0	1157825	22.0	67108864	67108864	3221225472	47608696
21	Wed Feb 06 23:53:41 EET 2013	1280184	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097625	20.0	67108864	67108864	3221225472	40026880
21	Wed Feb 06 23:53:41 EET 2013	1278072	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095516	81.0	67108864	67108864	3221225472	25759160
21	Wed Feb 06 23:53:41 EET 2013	1280184	1	Garbage collection optimized for throughput Young Collector	16	1.0	165	5.0	1278173	6.0	67108864	67108864	3221225472	40026880
21	Wed Feb 06 23:53:41 EET 2013	1278076	2	Garbage collection optimized for throughput Young Collector	16	1.0	236	10.0	1278054	11.0	67108864	67108864	3221225472	27332000
